cdm_source_name,cdm_source_abbreviation,cdm_holder,source_description,source_documentation_reference,cdm_etl_reference
Post-authorisation safety study (PASS): observational cohort study of PAH patients exposed and unexposed to Uptravi (selexipag) in clinical practice,EXPOSURE,Janssen Epidemiology - Actelion,"This is a multicentre, prospective, real-world, observational cohort study in patients with PAH. Source data are defined as data collected in the EXPOSURE eCRF and stored in the Study Data Tabulation Model, that follows Implementation Guide version 3.2 and ADaM standards.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4c6614fe-b32e-4d3a-9786-5e7453b70d57.xml,
OPsumit USers cohort study,OPUS,Janssen Epidemiology - Actelion,"This is a multicenter, long-term, prospective, real-world, drug registry of Opsumit new users, and is a stand-alone observational study. Study database follows SDTM (Implementation Guide version 3.2) and ADaM standards.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F70d7e037-b2a4-4591-8e94-ecce8cb00f66.xml,
OPsumit Historical USers cohort study,OrPHeUS,Janssen Epidemiology - Actelion,"Multicenter, retrospective chart review of Opsumit users who initiated Opsumit therapy for the first time in the US. Study database follows SDTM (Implementation Guide version 3.2) and ADaM standards.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F8082347a-1687-4255-94b9-b5de994a8776.xml,
Clinical Practice Research Datalink (CPRD),CPRD,Janssen R&D,"The Clinical Practice Research Datalink (CPRD) is a governmental, not-for-profit research service, jointly funded by the NHS National Institute for Health Research (NIHR) and the Medicines and Healthcare products Regulatory Agency (MHRA), a part of the Department of Health, United Kingdom (UK).  CPRD GOLD consists of data collected from UK primary care offices using Vision(R) software.  This includes conditions, observations, measurements, and procedures that the general practitioner is made aware of in addition to any prescriptions as prescribed by the general practitioner.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Fe3d6a6b5-a712-456f-9418-31b9c4f4c4fb.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/CPRD
CPRD Aurum,CPRD Aurum,Janssen R&D,"The Clinical Practice Research Datalink (CPRD) is a governmental, not-for-profit research service, jointly funded by the NHS National Institute for Health Research (NIHR) and the Medicines and Healthcare products Regulatory Agency (MHRA), a part of the Department of Health, United Kingdom (UK).  CPRD Aurum consists of data routinely-collected data from practices using EMIS Web(R) electronic patient record system software. This includes conditions, observations, measurements, and procedures that the general practitioner is made aware of in addition to any prescriptions as prescribed by the general practitioner.  ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F9245ab40-d61d-488c-b68f-46caf9c84bd3.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/CPRD_Aurum
Health Verity Comprehensive Claims and EHR - Closed Claims Enrollment,Healthverity CC EHR CCE,Janssen R&D,"The HealthVerity Comprehensive Claims and EHR (Closed Claims Enrollment)  derived data set contains de-identified linked patient information  from select private data providers participating in the HealthVerity marketplace. This data extract includes 2 data sources across medical and pharmacy closed claims data, 3 sources providing open medical claims, 6 sources providing open pharmacy claims, 3 sources providing electronic medical record data from primary and specialty care, COVID vaccination records from commercial pharmacies, state COVID immunization records from California and Louisiana, as well as hospital chargemaster transactional records for inpatient and outpatient hospital encounters, and 2 sources providing laboratory data.

During the transformation to the OMOP CDM, only patients with enrollment in one of the two closed claims sources are included. The reasoning behind this is twofold. First, by using only patients with closed claims enrollment there is a high probability that any interaction with the health care system will be recorded. Data from the other linked sources, like laboratory data, becomes additional clinical context while retaining the low likelihood that adverse events would be missing from the record altogether. Second, the time during which a person is enrolled in a closed claims system provides more accurate person-time calculations.",None,
Merative(TM) MarketScan(R) Commercial Claims and Encounters Database,IBM CCAE,Janssen R&D,"The Merative(TM) MarketScan(R) Commercial Database (CCAE) includes health insurance claims across the continuum of care (e.g. inpatient, outpatient, outpatient pharmacy, carve-out behavioral healthcare) as well as enrollment data from large employers and health plans across the United States who provide private healthcare coverage for employees, their spouses, and dependents. This administrative claims database includes a variety of fee- for-service, preferred provider organizations, and capitated health plans.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Ff2f27aca-60f6-491d-8ed8-fff1858d178e.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_CCAE_MDCR
Merative(TM) MarketScan(R) Commercial Claims and Encounters Database,IBM CCAE SET B,Janssen R&D,"The Merative(TM) MarketScan(R) Commercial Database (CCAE) Set B includes health insurance claims across the continuum of care (e.g. inpatient, outpatient, outpatient pharmacy, carve-out behavioral healthcare) as well as enrollment data from large employers and health plans across the United States who provide private healthcare coverage for employees, their spouses, and dependents. This administrative claims database includes a variety of fee- for-service, preferred provider organizations, and capitated health plans. Set B includes data and all financial variables for 85% of the population. ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Ff2f27aca-60f6-491d-8ed8-fff1858d178e.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_CCAE_MDCR
Merative(TM) MarketScan(R) Multi-State Medicaid Database,IBM MDCD,Janssen R&D,"The Merative(TM) MarketScan(R) Multi-State Medicaid Database (MDCD) reflects the healthcare service use of individuals covered by Medicaid programs in numerous geographically dispersed states. The database contains the pooled healthcare experience of Medicaid enrollees, covered under fee-for-service and managed care plans. It includes records of inpatient services, inpatient admissions, outpatient services, and prescription drug claims, as well as information on long-term care. Data on eligibility and service and provider type are also included. In addition to standard demographic variables such as age and gender, the database includes variables such as federal aid category (income based, disability, Temporary Assistance for Needy Families) and race.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4136471c-0662-4ca7-b091-4d6120358f74.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_MDCD
Merative(TM) MarketScan(R) Medicare Supplemental and Coordination of Benefits Database,IBM MDCR,Janssen R&D,"The Merative(TM) MarketScan(R) Medicare Supplemental Database (MDCR) represents the health services of retirees in the United States with Medicare supplemental coverage through employer-sponsored plans. This database contains primarily fee-for-service plans and includes health insurance claims across the continuum of care (e.g. inpatient, outpatient and outpatient pharmacy).",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4d653f44-36f7-4ccb-a81d-a1dce3be1c62.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_CCAE_MDCR
Merative(TM) MarketScan(R) Medicare Supplemental and Coordination of Benefits Database,IBM MDCR SET B,Janssen R&D,"The Merative(TM) MarketScan(R) Medicare Supplemental Database (MDCR) represents the health services of retirees in the United States with Medicare supplemental coverage through employer-sponsored plans. This database contains primarily fee-for-service plans and includes health insurance claims across the continuum of care (e.g. inpatient, outpatient and outpatient pharmacy). Set B includes data and true financial variables for 85% of the population",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4d653f44-36f7-4ccb-a81d-a1dce3be1c62.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_CCAE_MDCR
AMBULATORY EMR,AMBULATORY EMR,Janssen R&D,"The IQVIA Ambulatory EMR asset is comprised of patient records generated from face-to-face physician interactions since 2006 and are sourced from an “opt-in” provider research network. The aggregated database comprises records collected by over 100,000 physicians from large practices and physician networks located in all 50 US states. Approximately 40% of the contributing physicians are primary care practitioners and the remaining are specialists. Key information collected includes: patient demographics, vital signs, lab tests performed and results, allergies and vaccine details, diagnoses, prescription drugs prescribed and administered, procedures, and patient care episodes.",NotAv,
LPD Australia,LPDAU,Janssen R&D,"IQVIA(R) LPD in Australia is a longitudinal patient database providing anonymized information from continuing physician and patient interaction on consultations, diagnoses and treatment within Primary Care. Data are delivered by 900 office based doctors in Australia. The contents of the database document the management of patients by General Practitioners and specialists and include comprehensive records of diagnosis information; the management of the diagnosis, be it prescription issues, hospital admission or other tertiary care; specialist referrals; laboratory test results and administrative activities.  Prescriptions, issued by GPs using either the generic substance or drug name are captured exactly as written, including information on indication, dose, strength and dosage instruction and cost.  ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Fed690d57-5185-403b-b480-196232e1dbca.xml,
France Disease Analyzer,France DA,Janssen R&D,"IQVIA(R) Disease Analyzer France is a longitudinal patient database providing anonymized information from continuing physician and patient interaction on consultations, diagnoses and treatment within Primary Care.  It contains clinical information collected from more than 1700 GPs based in France. The contents of the database document the management of patients by General Practitioners and include comprehensive records of diagnosis information; the management of the diagnosis, specialist referrals, laboratory test results and administrative activities.  All the events are date stamped, with diagnosis/note/test information collected. Prescriptions, issued by GPs using either the generic substance or drug name are captured exactly as written, including information on indication, dose, strength and dosage instruction and cost. ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Fdc4bb97d-5bfd-4810-87b7-8530df3b2521.xml,
German Disease Analyzer,German DA,Janssen R&D,"IQVIA(R) Disease Analyzer Germany is a longitudinal patient database providing anonymized information from continuing physician and patient interaction on consultations, diagnoses and treatment within Primary Care.  It contains a data from approximately 2,500 office based doctors in Germany. The contents of the database document the management of patients by General Practitioners as well as some specialists and include comprehensive records of diagnosis information; the management of the diagnosis, be it prescription issues, hospital admission or other tertiary care; specialist referrals; laboratory test results and administrative activities.  All the events are date stamped, with diagnosis/note/test information collected. Prescriptions, issued by GPs using either the generic substance or drug name are captured exactly as written, including information on indication, dose, strength and dosage instruction and cost. ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Fcb9e96f4-db84-4610-8d62-c32d54bba9cd.xml,
JMDC,JMDC,Janssen R&D,"JMDC database consists of data from more than 250 Health Insurance Associations covering workers aged less than 75 and their dependents. The proportion who are younger than 66 years old in JMDC is approximately the same as the proportion in the whole nation.  JMDC data includes data on membership status of the insured people and claims data provided by insurers under contract.  Claims data are derived from monthly claims issued by clinics, hospitals and community pharmacies.  The size of JMDC population is about 10% of people in the whole nation.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F06d7e4d1-6000-4779-bdc9-16ace880912a.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/JMDC
"Optum's  Clinformatics(R) Extended Data Mart, Date of Death (DOD)",OPTUM Extended DOD,Janssen R&D,"Optum's Clinformatics(R) Data Mart (CDM) is derived from a database of administrative health claims for members of large commercial and Medicare Advantage health plans. Clinformatics(R) Data Mart is statistically de-identified under the Expert Determination method consistent with HIPAA and managed according to Optum's customer data use agreements. CDM administrative claims submitted for payment by providers and pharmacies are verified, adjudicated and de-identified prior to inclusion. This data, including patient-level enrollment information, is derived from claims submitted for all medical and pharmacy health care services with information related to health care costs and resource utilization. The population is geographically diverse, spanning all 50 states.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F5115ce8f-54d7-46f8-bef5-7fba67943b75.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/Optum_Clinformatics
Optum EHR,Optum EHR,Janssen R&D,"Optum's longitudinal EHR repository is derived from dozens of healthcare provider organizations in the United States. The data is certified as de-identified by an independent statistical expert following HIPAA statistical de-identification rules and managed according to Optum's customer data use agreements . Clinical, claims and other medical administrative data is obtained from both Inpatient and Ambulatory electronic health records (EHRs), practice management systems and numerous other internal systems. Information is processed, normalized, and standardized across the continuum of care from both acute inpatient stays and outpatient visits. Optum's data elements include demographics, medications prescribed and administered, immunizations, allergies, lab results (including microbiology), vital signs and other observable measurements, clinical and inpatient stay administrative data and coded diagnoses and procedures. In addition, Optum uses natural language processing (NLP) computing technology to transform critical facts from physician notes into usable datasets. The NLP data provides detailed information regarding signs and symptoms, family history, disease related scores (i.e. RAPID3 for RA, or CHADS2 for stroke risk), genetic testing, medication changes, and physician rationale behind prescribing decisions that might never be recorded in the EHR.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F0863f562-32bb-45cb-bd91-4210bd5b1e11.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/OPTUM_PANTHER
Optum EHR Covid Cut,Optum EHR Covid,Janssen R&D,"Optum's longitudinal, low-latency COVID-19 EHR data is derived from a network of healthcare provider organizations across the United States. The data is certified as de-identified by an independent statistical expert following HIPAA statistical de-identification rules and managed according to Optum(R) customer data use agreements. The COVID-19 data assetincorporates clinical and medical administrative data from both Inpatient and Ambulatory electronic medical records (EMRs), practice management systems and numerous other internal systems. Information is processed from across the continuum of care, including acute inpatient stays and outpatient visits. The COVID-19 data captures point of care diagnostics specific to the COVID-19 patient during initial presentation, acute illness and convalescence with over 500 mapped labs and bedside observations, including COVID -19 specific testing.The Optum COVID - 19 data elements include patient level information: demographics, mortality, as well as clinical interventions such as medications prescribed and administered.The Data is comprised of multiple tables that can be linked by a common patient identifier(anonymous, randomized string of characters).The COVID - 19 patient base includes all patients in the Electronic Health Record Database from January 2007 forward.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F0863f562-32bb-45cb-bd91-4210bd5b1e11.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/OPTUM_PANTHER
"Optum's Clinformatics(R) Extended Data Mart, Socio-Economic Status (SES)",OPTUM Extended SES,Janssen R&D,"Optum's Clinformatics(R) Data Mart (CDM) is derived from a database of administrative health claims for members of large commercial and Medicare Advantage health plans. Clinformatics(R) Data Mart is statistically de-identified under the Expert Determination method consistent with HIPAA and managed according to Optum customer data use agreements. CDM administrative claims submitted for payment by providers and pharmacies are verified, adjudicated and de-identified prior to inclusion. This data, including patient-level enrollment information, is derived from claims submitted for all medical and pharmacy health care services with information related to health care costs and resource utilization. The population is geographically diverse, spanning all 50 states.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Fd27742b7-6a17-4a6c-96f4-a4c5a486155a.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/Optum_Clinformatics
PharMetrics Plus,PharMetrics,Janssen R&D,"The IQVIA(R) Adjudicated Health Plan Claims Data (formerly PharMetrics Plus) - US database is comprised of fully adjudicated health plan claims data and enrollment information for commercial individuals. The information is comprised of over 70 contributing health plans and self-insured employer groups throughout the United States over the last 5 years. This anonymous, patient-centric database includes all medical and pharmacy claims data (costs and descriptive services). Claims represent payments to providers for services rendered to covered health plan individuals. The data also includes patient-level enrollment which is a record of demographic variables including eligibility status (YOB, gender, US Census region, eligibility by month). The enrollee population in the database is generally representative of the <65 years of age, commercially insured population with a subset of Commercial Medicare and Medicaid in the US with respect to both age and gender.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4fcfbe6d-bb08-4f15-8842-f7478277204a.xml,
Premier Healthcare Database (PHD),PREMIER,Janssen R&D,"Premier Healthcare Database (PHD) is a nationally representative all-payer US hospital database that houses data on the inpatient and outpatient visits from non-profit, non-governmental and community and teaching hospitals and health systems. The data represent 1 in 5 inpatient hospital stays in the US. It is a visit-centric, billing database where each visit is linked with a unique billing record. The database contains information on medications, laboratory procedures, diagnostic procedures, and diagnoses with day of service for medications and procedures. ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F27adc862-0a6d-48cd-abe9-6aec4c303b29.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/PREMIER
Health Verity Vaccine,Health Verity Vaccine,Janssen R&D,"The HealthVerity Marketplace COVID Vaccine cut is a data extract containing closed claims, open claims, pharmacy records, and hospital charge master data for with a COVID-related diagnosis or COVID vaccine exposure. ",None,
Flatiron - Multiple Myeloma Core Registry, Flatiron MM,Janssen R&D,"The Flatiron - Multiple Myeloma Core Registry is a longitudinal, de-identified data set of patients diagnosed with Multiple Myleoma sourced from electronic health records (EHRs) deployed at Flatiron's nationwide network of community oncology practices and academic cancer centers.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F7f67e26c-f0fa-4c51-817e-672a6f6ae4ea.xml,
Health Verity Comprehensive Claims - Closed Claims Enrollment,Healthverity CC,Janssen R&D,"The HealthVerity Comprehensive Claims (Closed Claims Enrollment)  derived data set contains de-identified linked patient information from select private data providers participating in the HealthVerity marketplace. This data extract includes 3 data sources across medical and pharmacy closed claims data, 9 sources providing open medical claims, 8 sources providing open pharmacy claims, and 1 source providing linked death data.

During the transformation to the OMOP CDM, only patients with enrollment in one of the two closed claims sources are included. The reasoning behind this is twofold. First, by using only patients with closed claims enrollment there is a high probability that any interaction with the health care system will be recorded. Data from the other linked sources, like laboratory data, becomes additional clinical context while retaining the low likelihood that adverse events would be missing from the record altogether. Second, the time during which a person is enrolled in a closed claims system provides more accurate person-time calculations.",None,
Health Verity Comprehensive Claims - All Persons,Healthverity CC All Persons,Janssen R&D,"The HealthVerity Comprehensive Claims (All Persons)  derived data set contains de-identified linked patient information from select private data providers participating in the HealthVerity marketplace. This data extract includes 3 data sources across medical and pharmacy closed claims data, 9 sources providing open medical claims, 8 sources providing open pharmacy claims, and 1 source providing linked death data.

During the transformation to the OMOP CDM, all persons with high-quality data from the native are retained, regardless if they have enrollment in a closed claims source or not. The only persons removed are those deemed low-quality, either because they are missing a birth date, missing gender, or if their first observation occurs prior to birth. ",None,