Freq,STDPROV,Description
879763659,0,Unknown
4481607944,1,Acute Care Hospital
87454931,130,Podiatry
52688199,270,Endocrinology & Metabolism
61564347,5,Ambulatory Surgery Centers
22116763,140,Pain Mgmt/Pain Medicine
64397313,275,Gastroenterology
72281524,6,Urgent Care Facility
58447,145,Pediatric Anesthesiology
43282624,280,Hematology
5622571,10,Birthing Center
86796469,150,Anesthesiology
14960474,285,Infectious Disease
15741177,15,Treatment Center
4685059,160,Nuclear Medicine
18278412,290,Nephrology
4149119,20,Mental Health/Chemical Dep NEC
370624400,170,Pathology
34906683,295,Pulmonary Disease
12028749,21,Mental Health Facilities
462930,175,Pediatric Pathology
40243813,300,Rheumatology
11708487,22,Chemical Depend Treatment Ctr
418017174,180,Radiology
345585968,320,Obstetrics & Gynecology
1344458,23,Mental Hlth/Chem Dep Day Care
1189239,185,Pediatric Radiology
783071,325,Genetics
36674202,25,Rehabilitation Facilities
541569206,200,Medical Doctor - MD (NEC)
88473020,330,Ophthalmology
1385768,30,Longterm Care (NEC)
10756948,202,Osteopathic Medicine
87523073,340,Otolaryngology
9190800,31,Extended Care Facility
610868663,204,Internal Medicine (NEC)
57526483,350,Physical Medicine & Rehab
3614,32,Geriatric Hospital
330051395,206,MultiSpecialty Physician Group
14386322,355,Plastic/Maxillofacial Surgery
775165,33,Convalescent Care Facility
1138556,208,Proctology
4109036,360,Preventative Medicine
7448966,34,Intermediate Care Facility
71697749,210,Urology
80472346,365,Psychiatry
3651445,35,Residential Treatment Center
152367840,215,Dermatology
75435552,380,Oncology
467142,36,Continuing Care Retirement Com
120926318,220,Emergency Medicine
651959745,400,Pediatrician (NEC)
808285,37,Day/Night Care Center
24961723,225,Hospitalist
13123025,410,Pediatric Specialist (NEC)
9460877,38,Hospice Facility
207362,227,Palliative Medicine
483816,413,Pediatric Nephrology
274422952,40,Other Facility (NEC)
86992895,230,Allergy & Immunology
921695,415,Pediatric Ophthalmology
176345,41,Infirmary
1092229548,240,Family Practice
1730546,418,Pediatric Orthopaedics
11197007,42,Special Care Facility (NEC)
2128814,245,Geriatric Medicine
1241197,420,Pediatric Otolaryngology
4906837,100,Dentist - MD & DDS (NEC)
152329770,250,Cardiovascular Dis/Cardiology
759268,423,Pediatric Critical Care Med
6000619,105,Dental Specialist
50919636,260,Neurology
2183329,425,Pediatric Pulmonology
586077684,120,Chiropractor/DCM
6279780,265,Critical Care Medicine
1460012,428,Pediatric Emergency Medicine
3003281,430,Pediatric Allergy & Immunology
4024437,550,General Vascular Surgery
423444114,850,Therapy (Physical)
2027160,433,Pediatric Endocrinology
266243,555,Head and Neck Surgery
109028010,853,Therapists (Supportive)
17357016,435,Neonatal-Perinatal Medicine
2221264,560,Pediatric Surgery
5659705,855,Therapists (Alternative)
1933960,438,Pediatric Gastroenterology
273711,565,Surgical Critical Care
51595225,857,Renal Dialysis Therapy
6539563,440,Pediatric Cardiology
107259,570,Transplant Surgery
68341892,860,Psychologist
2117017,443,Pediatric Hematology-Oncology
73945,575,Traumatic Surgery
24357374,865,Acupuncturist
418140,448,Pediatric Infectious Diseases
960208,580,Cardiothoracic Surgery
24037,870,Spiritual Healers
200741,450,Pediatric Rheumatology
3489591,585,Thoracic Surgery
2423515,900,Health Educator/Agency
425043,453,Sports Medicine (Pediatrics)
83722,805,Dental Technician
27212679,905,Transportation
607769,455,Pediatric Urology
2353741,810,Dietitian
3134,910,Health Resort
3109235,458,Child Psychiatry
14039033,815,Medical Technician
7350063,915,Hearing Labs
1277,460,Pediatric Medical Toxicology
5711468,820,Midwife
60827235,920,Home Health Organiz/Agency
58853314,500,Surgeon (NEC)
30470772,822,Nursing Services
33377963,925,Imaging Center
83739,505,Surgical Specialist (NEC)
1892955,824,Psychiatric Nurse
1990398420,930,Laboratory
3668410,510,Colon & Rectal Surgery
86278417,825,Nurse Practitioner
26532383,935,Pharmacy
13040018,520,Neurological Surgery
9547962,827,Nurse Anesthetist
159287041,940,Supply Center
211346048,530,Orthopaedic Surgery
42226319,830,Optometrist
1424858,945,Vision Center
1131364,535,Abdominal Surgery
1321178,835,Optician
16424026,950,Public Health Agency
2119052,540,Cardiovascular Surgery
3457759,840,Pharmacist
258495,955,Unknown Clinic
32369,545,Dermatologic Surgery
46670184,845,Physician Assistant
528563,960,Case Manager